LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1738263920.987830,192254.000,27937,1,TL,1,100,2025-01-30_12-05-15-940643
1738263920.991831,192258.000,27939,1,TL,1,100,2025-01-30_12-05-16-084285
1738263921.007831,192274.000,27942,1,TL,1,100,2025-01-30_12-05-21-002423
1738263926.096024,197362.000,28745,1,TL,1,100,2025-01-30_12-05-21-085098
1738263926.124025,197390.000,28748,1,TL,1,100,2025-01-30_12-05-26-115532
1738263931.205218,202471.000,29582,1,TL,1,100,2025-01-30_12-05-26-159023
1738263931.230219,202496.000,29585,1,TL,1,100,2025-01-30_12-05-31-223306
1738263936.313411,207579.000,30373,1,TL,1,100,2025-01-30_12-05-31-261753
1738263941.421605,212687.000,31150,1,TL,1,100,2025-01-30_12-05-36-371123
1738263941.427605,212693.000,31152,1,TL,1,100,2025-01-30_12-05-36-497250
1738263941.487608,212753.000,31155,1,TL,1,100,2025-01-30_12-05-41-475712
1738263946.532799,217798.000,31945,1,TL,1,100,2025-01-30_12-05-41-523090
1738263951.665994,222931.000,32752,1,TL,1,100,2025-01-30_12-05-46-646236
1738263951.668994,222934.000,32754,1,TL,1,100,2025-01-30_12-05-46-694732
1738263951.691995,222957.000,32757,1,TL,1,100,2025-01-30_12-05-51-683416
1738263956.774188,228039.000,33548,1,TL,1,100,2025-01-30_12-05-51-754223
1738263956.825189,228090.000,33551,1,TL,1,100,2025-01-30_12-05-56-811444
1738263961.898382,233163.000,34343,1,TL,1,100,2025-01-30_12-05-56-915744
1738263967.033576,238298.000,35135,1,TL,1,100,2025-01-30_12-06-01-957472
1738263967.038577,238303.000,35137,1,TL,1,100,2025-01-30_12-06-02-103077
1738263972.170771,243435.000,35932,1,TL,1,100,2025-01-30_12-06-07-122827
1738263972.173772,243438.000,35934,1,TL,1,100,2025-01-30_12-06-07-292096
1738263972.196772,243461.000,35937,1,TL,1,100,2025-01-30_12-06-12-190609
1738263977.277965,248542.000,36712,1,TL,1,100,2025-01-30_12-06-12-306212
1738263977.309966,248574.000,36715,1,TL,1,100,2025-01-30_12-06-17-304485
1738263982.404160,253668.000,37506,1,TL,1,100,2025-01-30_12-06-17-455920
1738263982.491163,253755.000,37509,1,TL,1,100,2025-01-30_12-06-22-471840
1738263987.545354,258809.000,38308,1,TL,1,100,2025-01-30_12-06-22-553805
1738263987.561355,258825.000,38311,1,TL,1,100,2025-01-30_12-06-27-553236
1738263992.669549,263933.000,39096,1,TL,1,100,2025-01-30_12-06-27-687786
1738263992.689549,263953.000,39099,1,TL,1,100,2025-01-30_12-06-32-681294
1738263997.803744,269067.000,39886,1,TL,1,100,2025-01-30_12-06-32-812146
1738263997.823744,269087.000,39889,1,TL,1,100,2025-01-30_12-06-37-815766
1738264002.920938,274184.000,40677,1,TL,1,100,2025-01-30_12-06-38-014468
1738264003.008941,274272.000,40680,1,TL,1,100,2025-01-30_12-06-42-996372
1738264008.029131,279292.000,41453,1,TL,1,100,2025-01-30_12-06-43-062393
1738264008.056132,279319.000,41456,1,TL,1,100,2025-01-30_12-06-48-046039
1738264013.159326,284422.000,42246,1,TL,1,100,2025-01-30_12-06-48-176691
1738264013.176327,284439.000,42249,1,TL,1,100,2025-01-30_12-06-53-169826
1738264018.288520,289551.000,43049,1,TL,1,100,2025-01-30_12-06-53-298665
1738264018.306521,289569.000,43052,1,TL,1,100,2025-01-30_12-06-58-300057
1738264023.415715,294678.000,43845,1,TL,1,100,2025-01-30_12-06-58-477072
1738264028.567910,299830.000,44636,1,TL,1,100,2025-01-30_12-07-03-439913
1738264028.570910,299833.000,44638,1,TL,1,100,2025-01-30_12-07-03-625559
1738264028.638913,299901.000,44641,1,TL,1,100,2025-01-30_12-07-08-626431
1738264033.694105,304956.000,45426,1,TL,1,100,2025-01-30_12-07-08-715149
1738264033.715105,304977.000,45429,1,TL,1,100,2025-01-30_12-07-13-707139
1738264038.833300,310095.000,46207,1,TL,1,100,2025-01-30_12-07-13-854783
1738264043.947494,315209.000,46977,1,TL,1,100,2025-01-30_12-07-18-940022
1738264043.954494,315216.000,46979,1,TL,1,100,2025-01-30_12-07-18-982312
1738264043.983495,315245.000,46982,1,TL,1,100,2025-01-30_12-07-23-975554
1738264049.058687,320320.000,47755,1,TL,1,100,2025-01-30_12-07-24-099894
1738264049.074688,320336.000,47758,1,TL,1,100,2025-01-30_12-07-29-067865
1738264054.169881,325431.000,48468,1,TL,1,100,2025-01-30_12-07-29-204310
1738264054.191882,325453.000,48471,1,TL,1,100,2025-01-30_12-07-34-182960
1738264059.288075,330549.000,49271,1,TL,1,100,2025-01-30_12-07-34-313721
1738264059.306076,330567.000,49274,1,TL,1,100,2025-01-30_12-07-39-300202
1738264064.406269,335667.000,50067,1,TL,1,100,2025-01-30_12-07-39-452820
