RD,TS_received,TS_sent,AK,RoundTrip,
1585279,1590396,2025-01-30_12-28-34-094774,1590397,5117,
1590401,1595527,2025-01-30_12-28-39-243338,1595529,5126,
1595533,1600653,2025-01-30_12-28-44-330927,1600654,5120,
1600662,1605787,2025-01-30_12-28-49-588332,1605793,5125,
1605798,1605886,2025-01-30_12-28-54-616278,1605887,88,
1610901,1610982,2025-01-30_12-28-59-762312,1610984,81,
1616031,1621158,2025-01-30_12-29-04-826287,1621159,5127,
1621167,1626291,2025-01-30_12-29-10-046741,1626295,5124,
1626300,1631399,2025-01-30_12-29-15-165808,1631403,5099,
1631406,1631429,2025-01-30_12-29-20-207139,1631430,23,
