RD,TS_received,TS_sent,AK,RoundTrip,
691221,691259,2025-01-30_11-12-21-149218,691260,38,
696343,696397,2025-01-30_11-12-26-289103,696398,54,
701463,706582,2025-01-30_11-12-31-454459,706584,5119,
706590,706685,2025-01-30_11-12-36-557870,706686,95,
711711,711738,2025-01-30_11-12-41-631934,711740,27,
716819,716876,2025-01-30_11-12-46-769964,716877,57,
721943,727071,2025-01-30_11-12-51-886004,727073,5128,
727077,732180,2025-01-30_11-12-57-118731,732181,5103,
732189,737302,2025-01-30_11-13-02-186341,737303,5113,
737310,737327,2025-01-30_11-13-07-221100,737328,17,
742434,747559,2025-01-30_11-13-12-441768,747561,5125,
747565,747630,2025-01-30_11-13-17-513818,747632,65,
752708,752726,2025-01-30_11-13-22-620236,752727,18,
757833,757856,2025-01-30_11-13-27-750013,757858,23,
762952,768096,2025-01-30_11-13-32-956950,768097,5144,
768104,768121,2025-01-30_11-13-38-014838,768122,17,
773205,773237,2025-01-30_11-13-43-117955,773238,32,
778333,778351,2025-01-30_11-13-48-244384,778353,18,
783455,788587,2025-01-30_11-13-53-500573,788589,5132,
788597,788627,2025-01-30_11-13-58-520575,788629,30,
793746,793763,2025-01-30_11-14-03-657588,793764,17,
798868,798881,2025-01-30_11-14-08-778823,798888,13,
803994,804027,2025-01-30_11-14-13-923644,804028,33,
809122,809149,2025-01-30_11-14-19-045711,809153,27,
814250,814274,2025-01-30_11-14-24-167509,814275,24,
819378,819419,2025-01-30_11-14-29-300046,819420,41,
824502,824605,2025-01-30_11-14-34-483248,829627,103,
829636,829658,2025-01-30_11-14-39-550730,829659,22,
834756,834797,2025-01-30_11-14-44-686074,834799,41,
839893,839924,2025-01-30_11-14-49-817778,839925,31,
845022,845047,2025-01-30_11-14-54-941571,845048,25,
850128,850151,2025-01-30_11-15-00-048959,850153,23,
855244,855262,2025-01-30_11-15-05-161119,855263,18,
860377,860393,2025-01-30_11-15-10-289276,860394,16,
865508,865537,2025-01-30_11-15-15-434091,865539,29,
870646,870730,2025-01-30_11-15-20-605881,870736,84,
875768,875819,2025-01-30_11-15-25-682334,875821,51,
880876,880894,2025-01-30_11-15-30-792253,880895,18,
885987,886026,2025-01-30_11-15-35-911193,886028,39,
891095,891117,2025-01-30_11-15-41-013925,891119,22,
896203,896228,2025-01-30_11-15-46-122925,896229,25,
901346,901366,2025-01-30_11-15-51-264844,901372,20,
906453,906546,2025-01-30_11-15-56-386139,906549,93,
911572,911664,2025-01-30_11-16-01-558586,911665,92,
916696,916716,2025-01-30_11-16-06-610746,916717,20,
921808,921863,2025-01-30_11-16-11-743591,921864,55,
926917,932038,2025-01-30_11-16-16-930495,932039,5121,
932042,932054,2025-01-30_11-16-21-954935,932055,12,
937148,937168,2025-01-30_11-16-27-068164,937169,20,
942289,942304,2025-01-30_11-16-32-204982,942305,15,
947395,947412,2025-01-30_11-16-37-311646,947413,17,
952503,952606,2025-01-30_11-16-42-492898,957635,103,
957638,957658,2025-01-30_11-16-47-555013,957659,20,
962745,962767,2025-01-30_11-16-52-665478,962769,22,
967880,967898,2025-01-30_11-16-57-795701,967900,18,
972992,973019,2025-01-30_11-17-02-922029,973021,27,
978099,978137,2025-01-30_11-17-08-032711,978138,38,
983207,983225,2025-01-30_11-17-13-123075,983230,18,
988352,988375,2025-01-30_11-17-18-268832,988376,23,
993456,998581,2025-01-30_11-17-23-396108,998582,5125,
998589,998605,2025-01-30_11-17-28-506813,998606,16,
1003694,1003709,2025-01-30_11-17-33-611283,1003710,15,
1008802,1008821,2025-01-30_11-17-38-722568,1008822,19,
1013940,1014021,2025-01-30_11-17-43-913122,1014022,81,
1019048,1019068,2025-01-30_11-17-48-969239,1019079,20,
1024160,1024176,2025-01-30_11-17-54-079182,1024177,16,
1029269,1029282,2025-01-30_11-17-59-186512,1029283,13,
1034389,1034411,2025-01-30_11-18-04-309258,1034412,22,
1039499,1044630,2025-01-30_11-18-09-462735,1044632,5131,
1044638,1044659,2025-01-30_11-18-14-559678,1044665,21,
1049738,1049757,2025-01-30_11-18-19-659900,1049758,19,
1054851,1054881,2025-01-30_11-18-24-785672,1054882,30,
1059958,1059995,2025-01-30_11-18-29-892079,1059997,37,
1065066,1065092,2025-01-30_11-18-34-996533,1065094,26,
1070173,1070221,2025-01-30_11-18-40-096103,1070222,48,
1075282,1075301,2025-01-30_11-18-45-201360,1075302,19,
1080424,1085545,2025-01-30_11-18-50-380900,1085546,5121,
1085553,1090653,2025-01-30_11-18-55-589367,1090654,5100,
1090663,1090712,2025-01-30_11-19-00-603579,1090714,49,
1095798,1095814,2025-01-30_11-19-05-719663,1095819,16,
1100919,1101003,2025-01-30_11-19-10-892587,1101006,84,
1106035,1106092,2025-01-30_11-19-15-991894,1106093,57,
1111159,1111177,2025-01-30_11-19-21-080926,1111178,18,
1116296,1116310,2025-01-30_11-19-26-217003,1116312,14,
1121424,1126541,2025-01-30_11-19-31-478608,1126543,5117,
1126552,1126578,2025-01-30_11-19-36-479684,1126580,26,
1131675,1131730,2025-01-30_11-19-41-635096,1131735,55,
1136800,1141920,2025-01-30_11-19-46-722257,1141921,5120,
1141926,1147040,2025-01-30_11-19-51-861597,1147042,5114,
1147045,1147066,2025-01-30_11-19-56-972612,1147068,21,
1152164,1152186,2025-01-30_11-20-02-090807,1152187,22,
1157299,1157332,2025-01-30_11-20-07-234477,1157334,33,
1162415,1167539,2025-01-30_11-20-12-460549,1167540,5124,
1167547,1172670,2025-01-30_11-20-17-517787,1172671,5123,
1172678,1172705,2025-01-30_11-20-22-611703,1172707,27,
1177800,1177815,2025-01-30_11-20-27-722960,1177817,15,
1182923,1183016,2025-01-30_11-20-32-854866,1183017,93,
1188041,1188092,2025-01-30_11-20-37-962807,1188093,51,
1193175,1193196,2025-01-30_11-20-43-101587,1193197,21,
1198309,1198324,2025-01-30_11-20-48-232347,1198329,15,
1203435,1208555,2025-01-30_11-20-53-471912,1208556,5120,
1208559,1208634,2025-01-30_11-20-58-526541,1208635,75,
1213680,1213701,2025-01-30_11-21-03-607157,1213702,21,
1218823,1218841,2025-01-30_11-21-08-750609,1218846,18,
1223944,1224020,2025-01-30_11-21-13-929981,1224022,76,
1229073,1229087,2025-01-30_11-21-18-997172,1229088,14,
1234205,1234221,2025-01-30_11-21-24-129385,1234222,16,
1239339,1239365,2025-01-30_11-21-29-266007,1239367,26,
1244471,1249605,2025-01-30_11-21-34-491192,1249607,5134,
1249610,1249657,2025-01-30_11-21-39-561591,1249658,47,
1254735,1254757,2025-01-30_11-21-44-662677,1254762,22,
1259863,1259942,2025-01-30_11-21-49-812816,1259943,79,
1264992,1265015,2025-01-30_11-21-54-917262,1265017,23,
1270116,1270134,2025-01-30_11-22-00-045404,1270136,18,
1275248,1275267,2025-01-30_11-22-05-174947,1275268,19,
1280364,1280387,2025-01-30_11-22-10-297206,1280389,23,
1285482,1290614,2025-01-30_11-22-15-556789,1290615,5132,
1290616,1290640,2025-01-30_11-22-20-542426,1290641,24,
1295747,1295761,2025-01-30_11-22-25-673471,1295762,14,
1300854,1300868,2025-01-30_11-22-30-780275,1300869,14,
1305962,1305982,2025-01-30_11-22-35-892542,1305985,20,
1311069,1311084,2025-01-30_11-22-40-996107,1311085,15,
1316203,1316223,2025-01-30_11-22-46-132589,1316225,20,
1321310,1321331,2025-01-30_11-22-51-241209,1321333,21,
1326423,1331555,2025-01-30_11-22-56-461744,1331556,5132,
1331560,1331648,2025-01-30_11-23-01-555090,1331650,88,
1336677,1336741,2025-01-30_11-23-06-628180,1336742,64,
1341786,1341801,2025-01-30_11-23-11-713902,1341802,15,
1346894,1346909,2025-01-30_11-23-16-822553,1346914,15,
1352026,1357144,2025-01-30_11-23-22-001317,1357145,5118,
1357152,1357171,2025-01-30_11-23-27-082674,1357201,19,
1362254,1362272,2025-01-30_11-23-32-186581,1362274,18,
1367366,1367383,2025-01-30_11-23-37-298172,1367384,17,
1372473,1372492,2025-01-30_11-23-42-404362,1372497,19,
1377583,1377596,2025-01-30_11-23-47-511782,1377597,13,
1382718,1382739,2025-01-30_11-23-52-654017,1382740,21,
1387831,1387848,2025-01-30_11-23-57-763672,1387850,17,
1392937,1393042,2025-01-30_11-24-02-924181,1398064,105,
1398072,1398122,2025-01-30_11-24-08-038315,1398124,50,
