LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1738260739.754997,689856.000,37561,1,EL,1,100,26411.000000
1738260739.822000,689923.000,37575,1,EL,1,100,26411.000000
1738260739.888502,689989.500,37592,2,EL,1,100,26411.000000
1738260739.955004,690056.000,37592,2,EL,1,100,26411.000000
1738260740.022006,690123.000,37609,1,EL,1,100,26411.000000
1738260740.088509,690189.500,37624,2,EL,1,100,26411.000000
1738260740.155011,690256.000,37624,2,EL,1,100,26411.000000
1738260740.222013,690323.000,37639,1,EL,1,100,26410.800781
1738260740.288515,690389.500,37656,2,EL,1,100,26411.199219
1738260740.355017,690456.000,37656,2,EL,1,100,26411.000000
1738260740.422019,690523.000,37673,1,EL,1,100,26411.000000
1738260740.488522,690589.500,37688,2,EL,1,100,26411.000000
1738260740.555024,690656.000,37688,2,EL,1,100,26411.000000
1738260740.622026,690723.000,37704,1,EL,1,100,26411.000000
1738260740.688528,690789.500,37720,2,EL,1,100,26411.000000
1738260740.755030,690856.000,37720,2,EL,1,100,26410.800781
1738260740.822032,690923.000,37735,1,EL,1,100,26411.000000
1738260740.888535,690989.500,37751,2,EL,1,100,26411.000000
1738260740.955037,691056.000,37751,2,EL,1,100,26411.000000
1738260741.022039,691123.000,37766,1,EL,1,100,26410.800781
1738260741.088708,691189.667,37787,3,EL,1,100,26411.000000
1738260741.155377,691256.333,37787,3,EL,1,100,26411.000000
1738260741.222046,691323.000,37787,3,EL,1,100,26411.000000
1738260741.289048,691390.000,37805,1,EL,1,100,26411.000000
1738260741.355550,691456.500,37821,2,EL,1,100,26411.000000
1738260741.422052,691523.000,37821,2,EL,1,100,26411.199219
1738260741.488054,691589.000,37836,1,EL,1,100,26411.000000
1738260741.555057,691656.000,37854,2,EL,1,100,26411.000000
1738260741.622059,691723.000,37854,2,EL,1,100,26411.000000
1738260741.688061,691789.000,37869,1,EL,1,100,26411.199219
1738260741.755063,691856.000,37885,2,EL,1,100,26411.199219
1738260741.822065,691923.000,37885,2,EL,1,100,26411.000000
1738260741.888067,691989.000,37900,1,EL,1,100,26411.199219
1738260741.955070,692056.000,37916,2,EL,1,100,26411.000000
1738260742.022072,692123.000,37916,2,EL,1,100,26411.000000
1738260742.088074,692189.000,37931,1,EL,1,100,26411.000000
