LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1738260743.609457,693710.333,38177,3,MX,1,100,-14
1738260743.649125,693750.000,38177,3,MX,1,100,-14
1738260743.689126,693790.000,38192,2,MX,1,100,-14
1738260743.729128,693830.000,38192,2,MX,1,100,-15
1738260743.769129,693870.000,38208,3,MX,1,100,-14
1738260743.809130,693910.000,38208,3,MX,1,100,-14
1738260743.849132,693950.000,38208,3,MX,1,100,-14
1738260743.889133,693990.000,38224,3,MX,1,100,-14
1738260743.929134,694030.000,38224,3,MX,1,100,-14
1738260743.969136,694070.000,38224,3,MX,1,100,-14
1738260744.009137,694110.000,38239,2,MX,1,100,-14
1738260744.049138,694150.000,38239,2,MX,1,100,-15
1738260744.089140,694190.000,38254,3,MX,1,100,-14
1738260744.129141,694230.000,38254,3,MX,1,100,-15
1738260744.169142,694270.000,38254,3,MX,1,100,-15
1738260744.209644,694310.500,38270,2,MX,1,100,-14
1738260744.250145,694351.000,38270,2,MX,1,100,-14
1738260744.290146,694391.000,38286,3,MX,1,100,-14
1738260744.330148,694431.000,38286,3,MX,1,100,-15
1738260744.370149,694471.000,38286,3,MX,1,100,-14
1738260744.410150,694511.000,38301,2,MX,1,100,-14
1738260744.450151,694551.000,38301,2,MX,1,100,-14
1738260744.489820,694590.667,38316,3,MX,1,100,-14
1738260744.529487,694630.333,38316,3,MX,1,100,-15
1738260744.569155,694670.000,38316,3,MX,1,100,-14
1738260744.609657,694710.500,38333,2,MX,1,100,-14
1738260744.650158,694751.000,38333,2,MX,1,100,-14
1738260744.689826,694790.667,38348,3,MX,1,100,-14
1738260744.729494,694830.333,38348,3,MX,1,100,-15
1738260744.769162,694870.000,38348,3,MX,1,100,-15
1738260744.809163,694910.000,38364,2,MX,1,100,-14
1738260744.849164,694950.000,38364,2,MX,1,100,-14
1738260744.889166,694990.000,38381,3,MX,1,100,-15
1738260744.929167,695030.000,38381,3,MX,1,100,-15
1738260744.969168,695070.000,38381,3,MX,1,100,-14
1738260745.009170,695110.000,38399,2,MX,1,100,-14
1738260745.049171,695150.000,38399,2,MX,1,100,-14
1738260745.089172,695190.000,38414,3,MX,1,100,-14
1738260745.129174,695230.000,38414,3,MX,1,100,-14
1738260745.169175,695270.000,38414,3,MX,1,100,-14
1738260745.209176,695310.000,38430,2,MX,1,100,-14
1738260745.249178,695350.000,38430,2,MX,1,100,-15
1738260745.289512,695390.333,38445,3,MX,1,100,-14
1738260745.329847,695430.667,38445,3,MX,1,100,-14
1738260745.370182,695471.000,38445,3,MX,1,100,-14
1738260745.405516,695506.333,38463,3,MX,1,100,-15
1738260745.440850,695541.667,38463,3,MX,1,100,-15
1738260745.476185,695577.000,38463,3,MX,1,100,-14
1738260745.516186,695617.000,38478,2,MX,1,100,-14
1738260745.556188,695657.000,38478,2,MX,1,100,-14
1738260745.596189,695697.000,38495,3,MX,1,100,-14
1738260745.636190,695737.000,38495,3,MX,1,100,-16
1738260745.676192,695777.000,38495,3,MX,1,100,-15
1738260745.716193,695817.000,38509,2,MX,1,100,-14
1738260745.756194,695857.000,38509,2,MX,1,100,-15
1738260745.796196,695897.000,38525,3,MX,1,100,-14
1738260745.836197,695937.000,38525,3,MX,1,100,-15
1738260745.876198,695977.000,38525,3,MX,1,100,-15
1738260745.916199,696017.000,38541,3,MX,1,100,-15
1738260745.956201,696057.000,38541,3,MX,1,100,-14
1738260745.996202,696097.000,38541,3,MX,1,100,-15
1738260746.036203,696137.000,38557,2,MX,1,100,-15
1738260746.076205,696177.000,38557,2,MX,1,100,-15
1738260746.116206,696217.000,38571,3,MX,1,100,-15
