LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1738260739.955004,690056.000,37587,1,SF,1,100,0.0376
1738260740.355017,690456.000,37651,1,SF,1,100,0.0372
1738260740.622026,690723.000,37699,1,SF,1,100,0.0367
1738260740.955037,691056.000,37746,1,SF,1,100,0.0363
1738260741.289048,691390.000,37800,1,SF,1,100,0.0359
1738260741.622059,691723.000,37849,1,SF,1,100,0.0355
1738260742.022072,692123.000,37911,1,SF,1,100,0.0351
1738260742.288081,692389.000,37960,1,SF,1,100,0.0347
1738260742.622092,692723.000,38007,1,SF,1,100,0.0343
1738260742.955102,693056.000,38053,1,SF,1,100,0.0339
1738260743.355116,693456.000,38115,1,SF,1,100,0.0335
1738260743.621124,693722.000,38165,1,SF,1,100,0.0331
1738260743.955135,694056.000,38211,1,SF,1,100,0.0327
1738260744.355148,694456.000,38273,1,SF,1,100,0.0323
1738260744.621157,694722.000,38320,1,SF,1,100,0.0319
1738260744.955168,695056.000,38369,1,SF,1,100,0.0316
1738260745.355181,695456.000,38433,1,SF,1,100,0.0312
1738260745.688192,695789.000,38482,1,SF,1,100,0.0309
1738260745.955201,696056.000,38528,1,SF,1,100,0.0305
1738260746.288212,696389.000,38580,1,SF,1,100,0.0301
1738260746.621222,696722.000,38626,1,SF,1,100,0.0298
1738260746.955234,697056.000,38673,1,SF,1,100,0.0294
1738260747.354247,697455.000,38737,1,SF,1,100,0.0291
1738260747.621255,697722.000,38784,1,SF,1,100,0.0288
1738260747.955266,698056.000,38833,1,SF,1,100,0.0284
1738260748.354280,698455.000,38895,1,SF,1,100,0.0281
1738260748.621288,698722.000,38943,1,SF,1,100,0.0278
1738260748.954299,699055.000,38991,1,SF,1,100,0.0275
1738260749.288310,699389.000,39037,1,SF,1,100,0.0271
1738260749.687323,699788.000,39099,1,SF,1,100,0.0268
1738260749.954332,700055.000,39146,1,SF,1,100,0.0265
1738260750.287343,700388.000,39194,1,SF,1,100,0.0262
1738260750.687356,700788.000,39258,1,SF,1,100,0.0259
1738260750.954365,701055.000,39306,1,SF,1,100,0.0256
1738260751.287375,701388.000,39352,1,SF,1,100,0.0253
1738260751.621387,701722.000,39403,1,SF,1,100,0.0250
1738260751.954397,702055.000,39449,1,SF,1,100,0.0247
1738260752.354410,702455.000,39511,1,SF,1,100,0.0244
1738260752.621419,702722.000,39558,1,SF,1,100,0.0242
1738260752.954430,703055.000,39607,1,SF,1,100,0.0239
1738260753.287441,703388.000,39654,1,SF,1,100,0.0236
1738260753.687454,703788.000,39716,1,SF,1,100,0.0233
1738260753.954463,704055.000,39762,1,SF,1,100,0.0231
1738260754.287474,704388.000,39810,1,SF,1,100,0.0228
1738260754.687487,704788.000,39872,1,SF,1,100,0.0225
1738260755.020498,705121.000,39920,1,SF,1,100,0.0223
1738260755.287507,705388.000,39967,1,SF,1,100,0.0220
1738260755.620517,705721.000,40013,1,SF,1,100,0.0218
1738260756.020531,706121.000,40075,1,SF,1,100,0.0215
1738260756.287539,706388.000,40123,1,SF,1,100,0.0213
1738260756.687552,706788.000,40176,1,SF,1,100,0.0210
1738260756.953561,707054.000,40224,1,SF,1,100,0.0208
1738260757.287572,707388.000,40270,1,SF,1,100,0.0205
1738260757.687585,707788.000,40332,1,SF,1,100,0.0203
1738260757.953594,708054.000,40381,1,SF,1,100,0.0201
1738260758.287605,708388.000,40428,1,SF,1,100,0.0198
1738260758.620616,708721.000,40475,1,SF,1,100,0.0196
1738260759.020629,709121.000,40537,1,SF,1,100,0.0194
1738260759.286638,709387.000,40583,1,SF,1,100,0.0191
1738260759.620649,709721.000,40630,1,SF,1,100,0.0189
1738260760.020662,710121.000,40696,1,SF,1,100,0.0187
1738260760.287670,710388.000,40743,1,SF,1,100,0.0185
1738260760.620681,710721.000,40790,1,SF,1,100,0.0183
1738260760.953692,711054.000,40838,1,SF,1,100,0.0181
1738260761.353705,711454.000,40900,1,SF,1,100,0.0179
1738260761.686716,711787.000,40955,1,SF,1,100,0.0176
1738260762.020727,712121.000,41003,1,SF,1,100,0.0174
1738260762.286736,712387.000,41051,1,SF,1,100,0.0172
1738260762.620747,712721.000,41097,1,SF,1,100,0.0170
1738260762.953758,713054.000,41144,1,SF,1,100,0.0168
1738260763.353771,713454.000,41206,1,SF,1,100,0.0167
1738260763.619780,713720.000,41253,1,SF,1,100,0.0165
1738260763.953791,714054.000,41302,1,SF,1,100,0.0163
1738260764.353804,714454.000,41364,1,SF,1,100,0.0161
1738260764.619812,714720.000,41412,1,SF,1,100,0.0159
1738260764.953823,715054.000,41460,1,SF,1,100,0.0157
1738260765.286834,715387.000,41508,1,SF,1,100,0.0155
1738260765.686847,715787.000,41570,1,SF,1,100,0.0153
1738260765.953856,716054.000,41617,1,SF,1,100,0.0152
1738260766.286867,716387.000,41665,1,SF,1,100,0.0150
1738260766.819885,716920.000,41734,1,SF,1,100,0.0148
1738260767.019891,717120.000,41768,1,SF,1,100,0.0147
1738260767.286900,717387.000,41814,1,SF,1,100,0.0145
1738260767.619911,717720.000,41861,1,SF,1,100,0.0143
1738260768.019924,718120.000,41923,1,SF,1,100,0.0141
1738260768.286933,718387.000,41970,1,SF,1,100,0.0140
1738260768.619944,718720.000,42017,1,SF,1,100,0.0138
1738260768.952955,719053.000,42063,1,SF,1,100,0.0137
1738260769.352968,719453.000,42125,1,SF,1,100,0.0135
1738260769.619976,719720.000,42173,1,SF,1,100,0.0133
1738260769.952987,720053.000,42219,1,SF,1,100,0.0132
1738260770.353000,720453.000,42283,1,SF,1,100,0.0130
1738260770.620009,720720.000,42332,1,SF,1,100,0.0129
1738260770.953020,721053.000,42381,1,SF,1,100,0.0127
1738260771.286031,721386.000,42428,1,SF,1,100,0.0126
1738260771.686044,721786.000,42492,1,SF,1,100,0.0124
1738260772.020055,722120.000,42541,1,SF,1,100,0.0123
1738260772.353066,722453.000,42588,1,SF,1,100,0.0122
1738260772.620075,722720.000,42636,1,SF,1,100,0.0120
1738260772.953086,723053.000,42683,1,SF,1,100,0.0119
1738260773.353099,723453.000,42745,1,SF,1,100,0.0117
1738260773.620107,723720.000,42792,1,SF,1,100,0.0116
1738260773.953118,724053.000,42839,1,SF,1,100,0.0115
1738260774.286129,724386.000,42887,1,SF,1,100,0.0113
1738260774.686142,724786.000,42951,1,SF,1,100,0.0112
1738260774.953151,725053.000,42999,1,SF,1,100,0.0111
1738260775.286162,725386.000,43047,1,SF,1,100,0.0110
1738260775.686175,725786.000,43111,1,SF,1,100,0.0108
1738260775.953184,726053.000,43158,1,SF,1,100,0.0107
1738260776.286195,726386.000,43205,1,SF,1,100,0.0106
1738260776.619206,726719.000,43252,1,SF,1,100,0.0105
1738260777.086221,727186.000,43323,1,SF,1,100,0.0103
1738260777.286227,727386.000,43357,1,SF,1,100,0.0102
1738260777.686241,727786.000,43419,1,SF,1,100,0.0101
1738260777.952249,728052.000,43465,1,SF,1,100,0.0100
1738260778.286260,728386.000,43513,1,SF,1,100,0.0099
1738260778.619271,728719.000,43559,1,SF,1,100,0.0097
1738260779.019284,729119.000,43623,1,SF,1,100,0.0096
1738260779.285293,729385.000,43670,1,SF,1,100,0.0095
1738260779.619304,729719.000,43718,1,SF,1,100,0.0094
1738260780.019317,730119.000,43782,1,SF,1,100,0.0093
1738260780.286326,730386.000,43830,1,SF,1,100,0.0092
1738260780.619337,730719.000,43876,1,SF,1,100,0.0091
1738260780.952348,731052.000,43925,1,SF,1,100,0.0090
1738260781.352361,731452.000,43987,1,SF,1,100,0.0089
1738260781.619370,731719.000,44036,1,SF,1,100,0.0088
1738260781.952380,732052.000,44085,1,SF,1,100,0.0087
1738260782.285391,732385.000,44122,1,SF,1,100,0.0086
1738260782.685405,732785.000,44184,1,SF,1,100,0.0085
1738260782.952413,733052.000,44232,1,SF,1,100,0.0084
1738260783.285424,733385.000,44278,1,SF,1,100,0.0083
1738260783.618435,733718.000,44325,1,SF,1,100,0.0082
1738260784.018448,734118.000,44389,1,SF,1,100,0.0081
1738260784.285457,734385.000,44436,1,SF,1,100,0.0080
1738260784.618468,734718.000,44483,1,SF,1,100,0.0079
1738260785.018481,735118.000,44551,1,SF,1,100,0.0078
1738260785.285490,735385.000,44597,1,SF,1,100,0.0077
1738260785.618501,735718.000,44647,1,SF,1,100,0.0076
1738260785.952512,736052.000,44693,1,SF,1,100,0.0075
1738260786.351525,736451.000,44757,1,SF,1,100,0.0075
1738260786.618533,736718.000,44804,1,SF,1,100,0.0074
1738260786.951544,737051.000,44852,1,SF,1,100,0.0073
1738260787.285555,737385.000,44907,1,SF,1,100,0.0072
1738260787.618566,737718.000,44955,1,SF,1,100,0.0071
1738260788.018579,738118.000,45017,1,SF,1,100,0.0070
1738260788.285588,738385.000,45065,1,SF,1,100,0.0070
1738260788.618599,738718.000,45111,1,SF,1,100,0.0069
1738260789.018612,739118.000,45173,1,SF,1,100,0.0068
1738260789.351623,739451.000,45220,1,SF,1,100,0.0067
1738260789.618632,739718.000,45267,1,SF,1,100,0.0066
1738260789.951643,740051.000,45314,1,SF,1,100,0.0066
1738260790.351656,740451.000,45380,1,SF,1,100,0.0065
1738260790.618665,740718.000,45426,1,SF,1,100,0.0064
1738260790.951675,741051.000,45473,1,SF,1,100,0.0063
1738260791.351688,741451.000,45538,1,SF,1,100,0.0063
1738260791.684700,741784.000,45584,1,SF,1,100,0.0062
1738260791.951708,742051.000,45633,1,SF,1,100,0.0061
1738260792.284719,742384.000,45679,1,SF,1,100,0.0061
1738260792.618730,742718.000,45730,1,SF,1,100,0.0060
1738260793.018743,743118.000,45792,1,SF,1,100,0.0059
1738260793.351754,743451.000,45838,1,SF,1,100,0.0058
1738260793.618763,743718.000,45888,1,SF,1,100,0.0058
1738260793.951774,744051.000,45936,1,SF,1,100,0.0057
1738260794.351787,744451.000,45998,1,SF,1,100,0.0056
1738260794.617795,744717.000,46047,1,SF,1,100,0.0056
1738260794.951807,745051.000,46094,1,SF,1,100,0.0055
1738260795.284817,745384.000,46143,1,SF,1,100,0.0054
1738260795.684830,745784.000,46205,1,SF,1,100,0.0054
1738260795.951839,746051.000,46251,1,SF,1,100,0.0053
1738260796.284850,746384.000,46300,1,SF,1,100,0.0053
1738260796.684863,746784.000,46363,1,SF,1,100,0.0052
1738260797.017874,747117.000,46409,1,SF,1,100,0.0051
1738260797.284883,747384.000,46456,1,SF,1,100,0.0051
1738260797.617894,747717.000,46510,1,SF,1,100,0.0050
1738260797.950905,748050.000,46557,1,SF,1,100,0.0050
1738260798.350918,748450.000,46621,1,SF,1,100,0.0049
1738260798.684929,748784.000,46667,1,SF,1,100,0.0049
1738260798.950938,749050.000,46715,1,SF,1,100,0.0048
1738260799.283948,749383.000,46761,1,SF,1,100,0.0047
1738260799.683962,749783.000,46825,1,SF,1,100,0.0047
1738260799.950970,750050.000,46872,1,SF,1,100,0.0046
1738260800.283981,750383.000,46921,1,SF,1,100,0.0046
1738260800.617992,750717.000,46968,1,SF,1,100,0.0045
1738260801.018005,751117.000,47030,1,SF,1,100,0.0045
1738260801.284014,751383.000,47076,1,SF,1,100,0.0044
1738260801.618025,751717.000,47125,1,SF,1,100,0.0044
1738260802.018038,752117.000,47188,1,SF,1,100,0.0043
1738260802.284047,752383.000,47236,1,SF,1,100,0.0043
1738260802.684060,752783.000,47290,1,SF,1,100,0.0042
1738260803.017071,753116.000,47337,1,SF,1,100,0.0042
1738260803.284080,753383.000,47386,1,SF,1,100,0.0041
1738260803.618090,753717.000,47432,1,SF,1,100,0.0041
1738260804.017104,754116.000,47495,1,SF,1,100,0.0040
1738260804.284112,754383.000,47542,1,SF,1,100,0.0040
