LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1738263926.562460,210722.000,29088,2,AX,1,100,0.392
1738263926.602461,210762.000,29105,3,AX,1,100,0.387
1738263926.642463,210802.000,29105,3,AX,1,100,0.389
1738263926.682464,210842.000,29105,3,AX,1,100,0.393
1738263926.722465,210882.000,29123,2,AX,1,100,0.385
1738263926.762467,210922.000,29123,2,AX,1,100,0.396
1738263926.799868,210959.400,29144,5,AX,1,100,0.380
1738263926.837269,210996.800,29144,5,AX,1,100,0.403
1738263926.874670,211034.200,29144,5,AX,1,100,0.397
1738263926.912071,211071.600,29144,5,AX,1,100,0.380
1738263926.949473,211109.000,29144,5,AX,1,100,0.398
1738263926.989141,211148.667,29159,3,AX,1,100,0.383
1738263927.028808,211188.333,29159,3,AX,1,100,0.395
1738263927.068476,211228.000,29159,3,AX,1,100,0.387
1738263927.108478,211268.000,29177,2,AX,1,100,0.390
1738263927.148479,211308.000,29177,2,AX,1,100,0.391
1738263927.188814,211348.333,29192,3,AX,1,100,0.382
1738263927.229148,211388.667,29192,3,AX,1,100,0.397
1738263927.269483,211429.000,29192,3,AX,1,100,0.386
1738263927.308984,211468.500,29209,2,AX,1,100,0.389
1738263927.348485,211508.000,29209,2,AX,1,100,0.391
1738263927.388487,211548.000,29224,3,AX,1,100,0.389
1738263927.428488,211588.000,29224,3,AX,1,100,0.396
1738263927.468489,211628.000,29224,3,AX,1,100,0.384
1738263927.508491,211668.000,29239,2,AX,1,100,0.394
1738263927.548492,211708.000,29239,2,AX,1,100,0.387
1738263927.588493,211748.000,29256,3,AX,1,100,0.389
1738263927.628494,211788.000,29256,3,AX,1,100,0.394
1738263927.668496,211828.000,29256,3,AX,1,100,0.384
1738263927.708497,211868.000,29273,2,AX,1,100,0.391
1738263927.748498,211908.000,29273,2,AX,1,100,0.385
1738263927.788500,211948.000,29288,3,AX,1,100,0.394
1738263927.828501,211988.000,29288,3,AX,1,100,0.391
1738263927.868502,212028.000,29288,3,AX,1,100,0.388
1738263927.908503,212068.000,29303,2,AX,1,100,0.390
1738263927.948505,212108.000,29303,2,AX,1,100,0.386
1738263927.988506,212148.000,29323,3,AX,1,100,0.389
1738263928.028507,212188.000,29323,3,AX,1,100,0.387
1738263928.068508,212228.000,29323,3,AX,1,100,0.391
1738263928.109010,212268.500,29339,2,AX,1,100,0.388
1738263928.149511,212309.000,29339,2,AX,1,100,0.386
1738263928.189179,212348.667,29354,3,AX,1,100,0.390
1738263928.228847,212388.333,29354,3,AX,1,100,0.390
1738263928.268515,212428.000,29354,3,AX,1,100,0.397
1738263928.308516,212468.000,29370,2,AX,1,100,0.388
1738263928.348517,212508.000,29370,2,AX,1,100,0.389
1738263928.388519,212548.000,29385,3,AX,1,100,0.396
1738263928.428520,212588.000,29385,3,AX,1,100,0.389
1738263928.468521,212628.000,29385,3,AX,1,100,0.392
1738263928.508523,212668.000,29403,3,AX,1,100,0.391
1738263928.548524,212708.000,29403,3,AX,1,100,0.393
1738263928.588525,212748.000,29403,3,AX,1,100,0.394
1738263928.628526,212788.000,29419,2,AX,1,100,0.387
1738263928.668528,212828.000,29419,2,AX,1,100,0.386
1738263928.708529,212868.000,29436,3,AX,1,100,0.398
1738263928.748530,212908.000,29436,3,AX,1,100,0.391
1738263928.788532,212948.000,29436,3,AX,1,100,0.386
1738263928.828533,212988.000,29451,2,AX,1,100,0.389
1738263928.868534,213028.000,29451,2,AX,1,100,0.397
1738263928.908535,213068.000,29467,3,AX,1,100,0.390
1738263928.948537,213108.000,29467,3,AX,1,100,0.374
1738263928.988538,213148.000,29467,3,AX,1,100,0.411
1738263929.028539,213188.000,29487,2,AX,1,100,0.379
1738263929.068541,213228.000,29487,2,AX,1,100,0.395
1738263929.108542,213268.000,29502,3,AX,1,100,0.389
1738263929.148543,213308.000,29502,3,AX,1,100,0.389
1738263929.188544,213348.000,29502,3,AX,1,100,0.397
1738263929.228546,213388.000,29517,2,AX,1,100,0.387
1738263929.268547,213428.000,29517,2,AX,1,100,0.391
1738263929.304215,213463.667,29534,3,AX,1,100,0.390
1738263929.339883,213499.333,29534,3,AX,1,100,0.395
1738263929.375550,213535.000,29534,3,AX,1,100,0.385
1738263929.415552,213575.000,29549,3,AX,1,100,0.393
1738263929.455553,213615.000,29549,3,AX,1,100,0.396
1738263929.495554,213655.000,29549,3,AX,1,100,0.389
1738263929.535556,213695.000,29564,2,AX,1,100,0.383
1738263929.575557,213735.000,29564,2,AX,1,100,0.394
1738263929.615558,213775.000,29580,3,AX,1,100,0.395
1738263929.655559,213815.000,29580,3,AX,1,100,0.380
1738263929.695561,213855.000,29580,3,AX,1,100,0.390
1738263929.735562,213895.000,29596,2,AX,1,100,0.396
1738263929.775563,213935.000,29596,2,AX,1,100,0.388
1738263929.815564,213975.000,29611,3,AX,1,100,0.386
1738263929.855566,214015.000,29611,3,AX,1,100,0.395
1738263929.895567,214055.000,29611,3,AX,1,100,0.389
1738263929.935568,214095.000,29627,2,AX,1,100,0.390
1738263929.975570,214135.000,29627,2,AX,1,100,0.394
1738263930.015571,214175.000,29646,3,AX,1,100,0.396
1738263930.055572,214215.000,29646,3,AX,1,100,0.394
1738263930.095573,214255.000,29646,3,AX,1,100,0.394
1738263930.135575,214295.000,29662,2,AX,1,100,0.394
1738263930.175576,214335.000,29662,2,AX,1,100,0.387
