LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1738263924.089381,208249,28704,1,HR,1,100,44.11
1738263924.809404,208969,28815,1,HR,1,100,52.83
1738263925.622430,209782,28941,1,HR,1,100,57.76
1738263926.708465,210868,29115,1,HR,1,100,57.27
1738263927.658495,211818,29249,1,HR,1,100,58.73
1738263928.538523,212698,29396,1,HR,1,100,60.83
1738263929.055540,213215,29477,1,HR,1,100,73.45
1738263930.048572,214208,29637,1,HR,1,100,70.60
1738263932.028636,216188,29948,1,HR,1,100,61.71
1738263932.908664,217068,30092,1,HR,1,100,63.32
1738263933.405680,217565,30175,1,HR,1,100,76.46
1738263934.008699,218168,30269,1,HR,1,100,81.69
1738263934.944729,219104,30413,1,HR,1,100,77.88
1738263935.654752,219814,30526,1,HR,1,100,79.62
1738263936.618783,220778,30686,1,HR,1,100,75.81
1738263936.668784,220828,30688,1,HR,1,100,325.64
1738263937.387807,221547,30805,1,HR,1,100,272.06
1738263938.267836,222427,30952,1,HR,1,100,226.92
1738263939.647880,223807,31158,1,HR,1,100,186.23
1738263940.557909,224717,31303,1,HR,1,100,159.66
1738263941.710946,225870,31500,1,HR,1,100,135.87
1738263942.263964,226423,31567,1,HR,1,100,129.92
1738263943.521004,227680,31780,1,HR,1,100,111.71
1738263944.431033,228590,31926,1,HR,1,100,101.70
1738263945.104055,229263,32021,1,HR,1,100,99.30
1738263946.961114,231120,32307,1,HR,1,100,84.48
1738263951.030245,235189,32969,1,HR,1,100,69.02
1738263952.893305,237052,33242,1,HR,1,100,60.89
1738263954.040342,238199,33420,1,HR,1,100,59.05
1738263957.620456,241779,33983,1,HR,1,100,49.70
1738263958.850496,243009,34180,1,HR,1,100,49.58
1738263961.193571,245352,34546,1,HR,1,100,44.31
1738263962.252605,246411,34727,1,HR,1,100,47.16
1738263963.272638,247431,34880,1,HR,1,100,49.88
1738263964.052663,248211,35010,1,HR,1,100,55.89
1738263964.579679,248738,35091,1,HR,1,100,69.11
1738263966.769750,250928,35442,1,HR,1,100,59.90
1738263967.865785,252024,35607,1,HR,1,100,58.93
1738263968.392802,252551,35690,1,HR,1,100,71.48
1738263968.985821,253144,35789,1,HR,1,100,78.19
1738263969.388834,253547,35854,1,HR,1,100,94.15
1738263970.275862,254434,36000,1,HR,1,100,88.38
1738263973.215956,257374,36454,1,HR,1,100,73.32
1738263974.782007,258940,36709,1,HR,1,100,65.63
1738263979.056144,263214,37368,1,HR,1,100,54.19
1738263979.745166,263903,37484,1,HR,1,100,61.76
1738263980.718197,264876,37646,1,HR,1,100,61.92
1738263981.685228,265843,37789,1,HR,1,100,62.05
1738263982.848265,267006,37982,1,HR,1,100,59.85
1738263983.148275,267306,38038,1,HR,1,100,91.00
1738263987.004399,271162,38623,1,HR,1,100,74.27
1738263987.578417,271736,38723,1,HR,1,100,81.16
1738263989.387475,273545,39003,1,HR,1,100,70.57
1738263990.277504,274435,39147,1,HR,1,100,70.04
1738263993.694613,277852,39685,1,HR,1,100,58.41
1738263994.594642,278752,39830,1,HR,1,100,60.41
1738263995.387668,279545,39959,1,HR,1,100,63.86
1738263996.277696,280435,40103,1,HR,1,100,64.82
1738263996.937717,281095,40201,1,HR,1,100,70.93
1738263997.647740,281805,40315,1,HR,1,100,74.22
1738264000.346827,284504,40735,1,HR,1,100,62.70
1738264000.756840,284914,40801,1,HR,1,100,81.29
1738264001.613868,285771,40948,1,HR,1,100,79.10
1738264002.123884,286281,41030,1,HR,1,100,87.66
1738264002.943910,287101,41162,1,HR,1,100,84.64
1738264004.906973,289064,41472,1,HR,1,100,72.67
1738264009.996136,294153,42262,1,HR,1,100,59.17
1738264010.643157,294800,42375,1,HR,1,100,66.85
1738264011.603188,295760,42521,1,HR,1,100,66.03
1738264014.510281,298667,42986,1,HR,1,100,55.99
1738264015.516313,299673,43132,1,HR,1,100,57.01
1738264016.089332,300246,43230,1,HR,1,100,67.74
1738264016.816355,300973,43343,1,HR,1,100,71.20
1738264017.819387,301976,43503,1,HR,1,100,68.71
1738264021.275498,305432,44047,1,HR,1,100,57.34
1738264023.172559,307329,44336,1,HR,1,100,51.69
1738264023.945584,308102,44464,1,HR,1,100,57.75
1738264024.472601,308629,44551,1,HR,1,100,70.56
1738264025.285627,309442,44681,1,HR,1,100,71.34
1738264027.055683,311212,44952,1,HR,1,100,63.10
1738264028.368726,312525,45162,1,HR,1,100,59.34
1738264029.054748,313211,45276,1,HR,1,100,65.76
1738264029.748770,313905,45378,1,HR,1,100,70.47
1738264030.624798,314781,45524,1,HR,1,100,70.14
1738264031.458825,315615,45653,1,HR,1,100,70.81
1738264036.981002,321137,46520,1,HR,1,100,57.51
1738264037.848030,322004,46665,1,HR,1,100,60.24
1738264039.191073,323347,46875,1,HR,1,100,56.87
1738264039.958097,324114,46993,1,HR,1,100,61.78
1738264041.814157,325970,47284,1,HR,1,100,55.30
1738264042.914192,327070,47458,1,HR,1,100,55.24
1738264043.661216,327817,47573,1,HR,1,100,60.98
1738264044.571245,328727,47719,1,HR,1,100,62.25
1738264045.451273,329607,47869,1,HR,1,100,63.74
1738264048.320365,332476,48313,1,HR,1,100,54.25
1738264048.370367,332526,48315,1,HR,1,100,308.88
1738264051.980483,336136,48873,1,HR,1,100,243.97
1738264052.476499,336632,48955,1,HR,1,100,216.96
1738264056.153617,340309,49535,1,HR,1,100,172.41
1738264056.889640,341045,49648,1,HR,1,100,152.36
1738264057.566662,341722,49763,1,HR,1,100,138.40
1738264058.553694,342709,49922,1,HR,1,100,121.25
1738264059.109712,343265,50004,1,HR,1,100,118.55
1738264059.899737,344055,50134,1,HR,1,100,109.30
1738264061.572791,345728,50395,1,HR,1,100,93.04
1738264062.816830,346972,50588,1,HR,1,100,83.20
1738264064.039870,348195,50782,1,HR,1,100,75.64
1738264064.472884,348628,50849,1,HR,1,100,90.58
1738264065.465915,349621,51016,1,HR,1,100,83.92
1738264066.318943,350474,51144,1,HR,1,100,81.14
1738264067.142969,351298,51271,1,HR,1,100,79.37
1738264067.991997,352147,51419,1,HR,1,100,77.61
1738264068.836024,352991,51548,1,HR,1,100,76.23
1738264069.699051,353854,51683,1,HR,1,100,74.98
1738264069.936059,354091,51731,1,HR,1,100,113.87
1738264070.896090,355051,51881,1,HR,1,100,102.60
1738264071.909122,356064,52041,1,HR,1,100,93.14
1738264074.635210,358790,52472,1,HR,1,100,77.38
1738264076.815279,360970,52813,1,HR,1,100,66.35
1738264079.188356,363343,53183,1,HR,1,100,57.28
1738264080.118386,364273,53328,1,HR,1,100,59.05
1738264080.995414,365150,53465,1,HR,1,100,61.25
1738264082.064448,366219,53645,1,HR,1,100,60.22
1738264084.058512,368213,53952,1,HR,1,100,53.60
1738264084.841537,368996,54081,1,HR,1,100,58.79
1738264085.741566,369896,54230,1,HR,1,100,60.70
1738264086.021575,370176,54264,1,HR,1,100,94.83
1738264086.457589,370612,54349,1,HR,1,100,104.77
1738264087.291615,371446,54475,1,HR,1,100,97.55
1738264089.297680,373452,54796,1,HR,1,100,82.61
1738264092.220774,376375,55244,1,HR,1,100,68.85
1738264094.160836,378315,55549,1,HR,1,100,60.49
1738264100.237031,384391,56506,1,HR,1,100,49.26
1738264104.270160,388424,57137,1,HR,1,100,41.66
1738264105.840210,389994,57373,1,HR,1,100,40.95
1738264106.556233,390710,57489,1,HR,1,100,50.63
1738264106.800241,390954,57525,1,HR,1,100,94.93
1738264107.560266,391714,57653,1,HR,1,100,91.62
1738264108.490295,392644,57801,1,HR,1,100,85.75
1738264109.483327,393637,57963,1,HR,1,100,80.16
