LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1738263923.014346,207174.000,28527,1,SF,1,100,54.1520
1738263923.414359,207574.000,28592,1,SF,1,100,53.5256
1738263923.747370,207907.000,28640,1,SF,1,100,54.9887
1738263924.014379,208174.000,28687,1,SF,1,100,54.3525
1738263924.347389,208507.000,28735,1,SF,1,100,53.7238
1738263924.747402,208907.000,28797,1,SF,1,100,53.1023
1738263925.014410,209174.000,28847,1,SF,1,100,52.4880
1738263925.347421,209507.000,28893,1,SF,1,100,51.8808
1738263925.680432,209840.000,28942,1,SF,1,100,51.2807
1738263926.080445,210240.000,29004,1,SF,1,100,50.6874
1738263926.347453,210507.000,29051,1,SF,1,100,50.1011
1738263926.680464,210840.000,29098,1,SF,1,100,49.5215
1738263927.014475,211174.000,29153,1,SF,1,100,51.0309
1738263927.347485,211507.000,29202,1,SF,1,100,52.5228
1738263927.747498,211907.000,29266,1,SF,1,100,51.9152
1738263928.080509,212240.000,29316,1,SF,1,100,53.3969
1738263928.347517,212507.000,29364,1,SF,1,100,52.7792
1738263928.680528,212840.000,29412,1,SF,1,100,52.1687
1738263929.080541,213240.000,29480,1,SF,1,100,55.7297
1738263929.347549,213507.000,29527,1,SF,1,100,55.0850
1738263929.680560,213840.000,29573,1,SF,1,100,54.4478
1738263930.080573,214240.000,29638,1,SF,1,100,53.8179
1738263930.413584,214573.000,29687,1,SF,1,100,55.2776
1738263930.680592,214840.000,29733,1,SF,1,100,54.6382
1738263931.013603,215173.000,29780,1,SF,1,100,54.0061
1738263931.413616,215573.000,29844,1,SF,1,100,55.4636
1738263931.680624,215840.000,29893,1,SF,1,100,56.9043
1738263932.013635,216173.000,29949,1,SF,1,100,56.2460
1738263932.413648,216573.000,30013,1,SF,1,100,57.6776
1738263932.746659,216906.000,30059,1,SF,1,100,57.0104
1738263933.013667,217173.000,30109,1,SF,1,100,56.3509
1738263933.346678,217506.000,30157,1,SF,1,100,55.6990
1738263933.746691,217906.000,30221,1,SF,1,100,55.0547
1738263934.013699,218173.000,30270,1,SF,1,100,54.4178
1738263934.346710,218506.000,30317,1,SF,1,100,53.7883
1738263934.680721,218840.000,30366,1,SF,1,100,55.2483
1738263935.080733,219240.000,30430,1,SF,1,100,54.6092
1738263935.346742,219506.000,30478,1,SF,1,100,56.0597
1738263935.680753,219840.000,30527,1,SF,1,100,55.4112
1738263936.079765,220239.000,30589,1,SF,1,100,54.7702
1738263936.346774,220506.000,30638,1,SF,1,100,56.2189
