LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1738263922.814340,206974.000,28501,1,EL,1,100,3542.199951
1738263922.881342,207041.000,28516,1,EL,1,100,3517.800049
1738263922.947844,207107.500,28532,2,EL,1,100,3494.399902
1738263923.014346,207174.000,28532,2,EL,1,100,3464.800049
1738263923.081348,207241.000,28549,1,EL,1,100,3435.399902
1738263923.147851,207307.500,28565,2,EL,1,100,3405.600098
1738263923.214353,207374.000,28565,2,EL,1,100,3376.399902
1738263923.281355,207441.000,28580,1,EL,1,100,3351.399902
1738263923.347857,207507.500,28597,2,EL,1,100,3320.399902
1738263923.414359,207574.000,28597,2,EL,1,100,3290.199951
1738263923.481361,207641.000,28611,1,EL,1,100,3265.600098
1738263923.547863,207707.500,28629,2,EL,1,100,3242.399902
1738263923.614366,207774.000,28629,2,EL,1,100,3223.199951
1738263923.680868,207840.500,28645,2,EL,1,100,3207.199951
1738263923.747370,207907.000,28645,2,EL,1,100,3189.000000
1738263923.814372,207974.000,28661,1,EL,1,100,3172.800049
1738263923.880874,208040.500,28675,2,EL,1,100,3154.800049
1738263923.947376,208107.000,28675,2,EL,1,100,3135.600098
1738263924.014379,208174.000,28692,1,EL,1,100,3118.399902
1738263924.080881,208240.500,28709,2,EL,1,100,3099.199951
1738263924.147383,208307.000,28709,2,EL,1,100,3078.600098
1738263924.214385,208374.000,28725,1,EL,1,100,3065.199951
1738263924.280887,208440.500,28740,2,EL,1,100,3048.199951
1738263924.347389,208507.000,28740,2,EL,1,100,3026.800049
1738263924.414391,208574.000,28756,1,EL,1,100,3007.199951
1738263924.480893,208640.500,28771,2,EL,1,100,2987.000000
1738263924.547395,208707.000,28771,2,EL,1,100,2967.199951
1738263924.614398,208774.000,28787,1,EL,1,100,2948.199951
1738263924.680900,208840.500,28802,2,EL,1,100,2931.800049
1738263924.747402,208907.000,28802,2,EL,1,100,2916.800049
1738263924.814404,208974.000,28820,1,EL,1,100,2899.399902
1738263924.880906,209040.500,28835,2,EL,1,100,2880.600098
1738263924.947408,209107.000,28835,2,EL,1,100,2864.399902
1738263925.014410,209174.000,28852,1,EL,1,100,2846.000000
1738263925.080913,209240.500,28867,2,EL,1,100,2830.199951
1738263925.147415,209307.000,28867,2,EL,1,100,2811.399902
1738263925.214417,209374.000,28882,1,EL,1,100,2795.000000
1738263925.280919,209440.500,28898,2,EL,1,100,2775.199951
1738263925.347421,209507.000,28898,2,EL,1,100,2758.000000
1738263925.414423,209574.000,28914,1,EL,1,100,2741.600098
1738263925.480926,209640.500,28929,2,EL,1,100,2727.199951
1738263925.547428,209707.000,28929,2,EL,1,100,2707.800049
1738263925.613930,209773.500,28947,2,EL,1,100,2690.600098
1738263925.680432,209840.000,28947,2,EL,1,100,2673.800049
1738263925.747434,209907.000,28962,1,EL,1,100,2656.000000
1738263925.813936,209973.500,28978,2,EL,1,100,2639.800049
1738263925.880438,210040.000,28978,2,EL,1,100,2621.399902
1738263925.947440,210107.000,28993,1,EL,1,100,2607.000000
1738263926.013942,210173.500,29009,2,EL,1,100,2589.199951
1738263926.080445,210240.000,29009,2,EL,1,100,2574.800049
1738263926.147447,210307.000,29024,1,EL,1,100,2557.800049
1738263926.213949,210373.500,29040,2,EL,1,100,2537.600098
1738263926.280451,210440.000,29040,2,EL,1,100,2519.199951
1738263926.347453,210507.000,29056,1,EL,1,100,2500.600098
1738263926.413955,210573.500,29071,2,EL,1,100,2480.199951
1738263926.480458,210640.000,29071,2,EL,1,100,2462.800049
1738263926.547460,210707.000,29086,1,EL,1,100,2444.000000
1738263926.613962,210773.500,29103,2,EL,1,100,2425.600098
1738263926.680464,210840.000,29103,2,EL,1,100,2406.399902
1738263926.747466,210907.000,29122,1,EL,1,100,2391.600098
1738263926.814135,210973.667,29142,3,EL,1,100,2373.800049
1738263926.880804,211040.333,29142,3,EL,1,100,2356.199951
1738263926.947473,211107.000,29142,3,EL,1,100,2336.399902
1738263927.014475,211174.000,29158,1,EL,1,100,2318.800049
1738263927.080977,211240.500,29175,2,EL,1,100,2305.600098
1738263927.147479,211307.000,29175,2,EL,1,100,2285.800049
1738263927.214481,211374.000,29190,1,EL,1,100,2262.000000
1738263927.280983,211440.500,29207,2,EL,1,100,2239.399902
1738263927.347485,211507.000,29207,2,EL,1,100,2217.000000
1738263927.414488,211574.000,29222,1,EL,1,100,2200.000000
1738263927.480990,211640.500,29238,2,EL,1,100,2184.800049
1738263927.547492,211707.000,29238,2,EL,1,100,2165.399902
1738263927.614494,211774.000,29254,1,EL,1,100,2145.199951
1738263927.680996,211840.500,29271,2,EL,1,100,2127.800049
1738263927.747498,211907.000,29271,2,EL,1,100,2109.399902
1738263927.814000,211973.500,29286,2,EL,1,100,2091.800049
1738263927.880502,212040.000,29286,2,EL,1,100,2070.000000
1738263927.947505,212107.000,29302,1,EL,1,100,2051.600098
1738263928.014007,212173.500,29321,2,EL,1,100,2038.000000
1738263928.080509,212240.000,29321,2,EL,1,100,2025.599976
1738263928.147511,212307.000,29337,1,EL,1,100,2008.400024
1738263928.214013,212373.500,29352,2,EL,1,100,1995.599976
1738263928.280515,212440.000,29352,2,EL,1,100,1978.800049
1738263928.347517,212507.000,29369,1,EL,1,100,1962.000000
1738263928.414020,212573.500,29383,2,EL,1,100,1943.000000
