LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1738263922.816340,206976.000,28505,1,AZ,1,100,0.901
1738263922.856341,207016.000,28519,3,AZ,1,100,0.895
1738263922.896343,207056.000,28519,3,AZ,1,100,0.897
1738263922.936344,207096.000,28519,3,AZ,1,100,0.899
1738263922.975845,207135.500,28536,2,AZ,1,100,0.900
1738263923.015346,207175.000,28536,2,AZ,1,100,0.896
1738263923.055681,207215.333,28553,3,AZ,1,100,0.898
1738263923.096016,207255.667,28553,3,AZ,1,100,0.894
1738263923.136350,207296.000,28553,3,AZ,1,100,0.901
1738263923.175852,207335.500,28569,2,AZ,1,100,0.895
1738263923.215353,207375.000,28569,2,AZ,1,100,0.900
1738263923.255354,207415.000,28584,3,AZ,1,100,0.900
1738263923.295355,207455.000,28584,3,AZ,1,100,0.898
1738263923.335357,207495.000,28584,3,AZ,1,100,0.894
1738263923.375358,207535.000,28600,2,AZ,1,100,0.898
1738263923.415359,207575.000,28600,2,AZ,1,100,0.896
1738263923.455694,207615.333,28615,3,AZ,1,100,0.899
1738263923.496028,207655.667,28615,3,AZ,1,100,0.897
1738263923.536363,207696.000,28615,3,AZ,1,100,0.897
1738263923.575864,207735.500,28633,2,AZ,1,100,0.898
1738263923.615366,207775.000,28633,2,AZ,1,100,0.896
1738263923.655700,207815.333,28649,3,AZ,1,100,0.900
1738263923.696035,207855.667,28649,3,AZ,1,100,0.898
1738263923.736370,207896.000,28649,3,AZ,1,100,0.894
1738263923.775871,207935.500,28664,2,AZ,1,100,0.898
1738263923.815372,207975.000,28664,2,AZ,1,100,0.898
1738263923.855373,208015.000,28679,3,AZ,1,100,0.901
1738263923.895375,208055.000,28679,3,AZ,1,100,0.897
1738263923.935376,208095.000,28679,3,AZ,1,100,0.897
1738263923.975377,208135.000,28696,3,AZ,1,100,0.894
1738263924.015378,208175.000,28696,3,AZ,1,100,0.897
1738263924.055380,208215.000,28696,3,AZ,1,100,0.893
1738263924.095381,208255.000,28713,2,AZ,1,100,0.896
1738263924.135382,208295.000,28713,2,AZ,1,100,0.896
1738263924.171050,208330.667,28728,3,AZ,1,100,0.897
1738263924.206718,208366.333,28728,3,AZ,1,100,0.893
1738263924.242386,208402.000,28728,3,AZ,1,100,0.901
1738263924.282387,208442.000,28744,2,AZ,1,100,0.901
1738263924.322388,208482.000,28744,2,AZ,1,100,0.898
1738263924.362390,208522.000,28760,3,AZ,1,100,0.900
1738263924.402391,208562.000,28760,3,AZ,1,100,0.898
1738263924.442392,208602.000,28760,3,AZ,1,100,0.896
1738263924.482394,208642.000,28775,3,AZ,1,100,0.899
1738263924.522395,208682.000,28775,3,AZ,1,100,0.897
1738263924.562396,208722.000,28775,3,AZ,1,100,0.900
1738263924.602397,208762.000,28790,2,AZ,1,100,0.893
1738263924.642399,208802.000,28790,2,AZ,1,100,0.896
1738263924.682400,208842.000,28806,3,AZ,1,100,0.892
1738263924.722401,208882.000,28806,3,AZ,1,100,0.897
1738263924.762403,208922.000,28806,3,AZ,1,100,0.893
1738263924.802404,208962.000,28824,2,AZ,1,100,0.899
1738263924.842405,209002.000,28824,2,AZ,1,100,0.898
1738263924.882406,209042.000,28839,3,AZ,1,100,0.893
1738263924.922408,209082.000,28839,3,AZ,1,100,0.896
1738263924.962409,209122.000,28839,3,AZ,1,100,0.894
1738263925.002410,209162.000,28856,2,AZ,1,100,0.896
1738263925.042411,209202.000,28856,2,AZ,1,100,0.895
1738263925.082413,209242.000,28870,3,AZ,1,100,0.892
1738263925.122414,209282.000,28870,3,AZ,1,100,0.896
1738263925.162415,209322.000,28870,3,AZ,1,100,0.892
1738263925.202416,209362.000,28886,2,AZ,1,100,0.897
1738263925.242418,209402.000,28886,2,AZ,1,100,0.895
1738263925.282419,209442.000,28902,3,AZ,1,100,0.897
1738263925.322420,209482.000,28902,3,AZ,1,100,0.896
1738263925.362422,209522.000,28902,3,AZ,1,100,0.896
1738263925.402423,209562.000,28918,2,AZ,1,100,0.894
1738263925.442424,209602.000,28918,2,AZ,1,100,0.897
1738263925.482425,209642.000,28932,3,AZ,1,100,0.892
1738263925.522427,209682.000,28932,3,AZ,1,100,0.896
1738263925.562428,209722.000,28932,3,AZ,1,100,0.896
1738263925.602429,209762.000,28951,3,AZ,1,100,0.895
1738263925.642431,209802.000,28951,3,AZ,1,100,0.896
1738263925.682432,209842.000,28951,3,AZ,1,100,0.894
1738263925.722433,209882.000,28966,2,AZ,1,100,0.894
1738263925.762434,209922.000,28966,2,AZ,1,100,0.893
1738263925.802436,209962.000,28982,3,AZ,1,100,0.895
1738263925.842437,210002.000,28982,3,AZ,1,100,0.896
1738263925.882438,210042.000,28982,3,AZ,1,100,0.894
1738263925.922440,210082.000,28996,2,AZ,1,100,0.894
1738263925.962441,210122.000,28996,2,AZ,1,100,0.893
1738263926.002442,210162.000,29013,3,AZ,1,100,0.896
1738263926.042444,210202.000,29013,3,AZ,1,100,0.893
1738263926.082445,210242.000,29013,3,AZ,1,100,0.899
1738263926.122446,210282.000,29028,2,AZ,1,100,0.888
1738263926.162447,210322.000,29028,2,AZ,1,100,0.898
1738263926.202449,210362.000,29044,3,AZ,1,100,0.890
1738263926.242450,210402.000,29044,3,AZ,1,100,0.896
