RD,TS_received,TS_sent,AK,RoundTrip,
211021,216131,2025-01-30_12-05-26-889237,216136,5110,
216141,216165,2025-01-30_12-05-31-999052,216168,24,
221244,221287,2025-01-30_12-05-37-118941,221288,43,
226351,231462,2025-01-30_12-05-42-257112,231463,5111,
231469,231483,2025-01-30_12-05-47-317033,231485,14,
236576,241697,2025-01-30_12-05-52-471575,241698,5121,
241701,241720,2025-01-30_12-05-57-553808,241721,19,
246834,246847,2025-01-30_12-06-02-682119,246848,13,
251963,251980,2025-01-30_12-06-07-811442,251981,17,
257085,257127,2025-01-30_12-06-12-961854,257132,42,
262211,262228,2025-01-30_12-06-18-063201,262229,17,
267325,267345,2025-01-30_12-06-23-175277,267346,20,
272442,272459,2025-01-30_12-06-28-293571,272463,17,
277560,277616,2025-01-30_12-06-33-448335,277617,56,
282681,282696,2025-01-30_12-06-38-532141,282697,15,
287802,292929,2025-01-30_12-06-43-667771,292930,5127,
292934,292950,2025-01-30_12-06-48-786096,292955,16,
298052,298141,2025-01-30_12-06-53-968191,298143,89,
303171,303265,2025-01-30_12-06-59-026139,303266,94,
308294,308329,2025-01-30_12-07-04-162802,308330,35,
313413,313433,2025-01-30_12-07-09-266982,313434,20,
318530,318627,2025-01-30_12-07-14-462598,318628,97,
323659,323674,2025-01-30_12-07-19-508716,323676,15,
328772,328798,2025-01-30_12-07-24-629142,328799,26,
333892,333951,2025-01-30_12-07-29-757694,333952,59,
339012,344143,2025-01-30_12-07-34-966463,344145,5131,
344152,344185,2025-01-30_12-07-40-011509,344189,33,
349276,349297,2025-01-30_12-07-45-130987,349298,21,
354402,354415,2025-01-30_12-07-50-252895,354417,13,
359525,364636,2025-01-30_12-07-55-474329,364641,5111,
364645,364714,2025-01-30_12-08-00-529975,364715,69,
369774,369791,2025-01-30_12-08-05-626499,369792,17,
374899,374921,2025-01-30_12-08-10-754067,374922,22,
380020,385148,2025-01-30_12-08-16-012042,385149,5128,
385152,385177,2025-01-30_12-08-21-009094,385178,25,
390267,390284,2025-01-30_12-08-26-120242,390285,17,
395376,395403,2025-01-30_12-08-31-236227,395404,27,
400492,400585,2025-01-30_12-08-36-388940,400587,93,
405629,405667,2025-01-30_12-08-41-505561,405669,38,
410744,410766,2025-01-30_12-08-46-605526,410771,22,
415869,415895,2025-01-30_12-08-51-733371,415896,26,
420987,426102,2025-01-30_12-08-56-933715,426103,5115,
426106,426157,2025-01-30_12-09-01-990613,426158,51,
