LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1738263922.816340,206976.000,28504,1,AY,1,100,-0.105
1738263922.856341,207016.000,28518,3,AY,1,100,-0.106
1738263922.896343,207056.000,28518,3,AY,1,100,-0.106
1738263922.936344,207096.000,28518,3,AY,1,100,-0.106
1738263922.975845,207135.500,28535,2,AY,1,100,-0.105
1738263923.015346,207175.000,28535,2,AY,1,100,-0.106
1738263923.055681,207215.333,28552,3,AY,1,100,-0.105
1738263923.096016,207255.667,28552,3,AY,1,100,-0.106
1738263923.136350,207296.000,28552,3,AY,1,100,-0.108
1738263923.175852,207335.500,28568,2,AY,1,100,-0.104
1738263923.215353,207375.000,28568,2,AY,1,100,-0.106
1738263923.255354,207415.000,28583,3,AY,1,100,-0.106
1738263923.295355,207455.000,28583,3,AY,1,100,-0.105
1738263923.335357,207495.000,28583,3,AY,1,100,-0.108
1738263923.375358,207535.000,28599,2,AY,1,100,-0.106
1738263923.415359,207575.000,28599,2,AY,1,100,-0.106
1738263923.455694,207615.333,28614,3,AY,1,100,-0.105
1738263923.496028,207655.667,28614,3,AY,1,100,-0.105
1738263923.536363,207696.000,28614,3,AY,1,100,-0.110
1738263923.575864,207735.500,28632,2,AY,1,100,-0.107
1738263923.615366,207775.000,28632,2,AY,1,100,-0.107
1738263923.655700,207815.333,28648,3,AY,1,100,-0.106
1738263923.696035,207855.667,28648,3,AY,1,100,-0.105
1738263923.736370,207896.000,28648,3,AY,1,100,-0.108
1738263923.775871,207935.500,28663,2,AY,1,100,-0.105
1738263923.815372,207975.000,28663,2,AY,1,100,-0.106
1738263923.855373,208015.000,28678,3,AY,1,100,-0.104
1738263923.895375,208055.000,28678,3,AY,1,100,-0.108
1738263923.935376,208095.000,28678,3,AY,1,100,-0.105
1738263923.975377,208135.000,28695,3,AY,1,100,-0.106
1738263924.015378,208175.000,28695,3,AY,1,100,-0.109
1738263924.055380,208215.000,28695,3,AY,1,100,-0.105
1738263924.095381,208255.000,28712,2,AY,1,100,-0.108
1738263924.135382,208295.000,28712,2,AY,1,100,-0.108
1738263924.171050,208330.667,28727,3,AY,1,100,-0.107
1738263924.206718,208366.333,28727,3,AY,1,100,-0.108
1738263924.242386,208402.000,28727,3,AY,1,100,-0.108
1738263924.282387,208442.000,28743,2,AY,1,100,-0.104
1738263924.322388,208482.000,28743,2,AY,1,100,-0.106
1738263924.362390,208522.000,28759,3,AY,1,100,-0.105
1738263924.402391,208562.000,28759,3,AY,1,100,-0.108
1738263924.442392,208602.000,28759,3,AY,1,100,-0.108
1738263924.482394,208642.000,28774,3,AY,1,100,-0.104
1738263924.522395,208682.000,28774,3,AY,1,100,-0.108
1738263924.562396,208722.000,28774,3,AY,1,100,-0.101
1738263924.602397,208762.000,28789,2,AY,1,100,-0.112
1738263924.642399,208802.000,28789,2,AY,1,100,-0.108
1738263924.682400,208842.000,28805,3,AY,1,100,-0.107
1738263924.722401,208882.000,28805,3,AY,1,100,-0.107
1738263924.762403,208922.000,28805,3,AY,1,100,-0.108
1738263924.802404,208962.000,28823,2,AY,1,100,-0.109
1738263924.842405,209002.000,28823,2,AY,1,100,-0.109
1738263924.882406,209042.000,28838,3,AY,1,100,-0.106
1738263924.922408,209082.000,28838,3,AY,1,100,-0.109
1738263924.962409,209122.000,28838,3,AY,1,100,-0.105
1738263925.002410,209162.000,28855,2,AY,1,100,-0.110
1738263925.042411,209202.000,28855,2,AY,1,100,-0.110
1738263925.082413,209242.000,28869,3,AY,1,100,-0.110
1738263925.122414,209282.000,28869,3,AY,1,100,-0.109
1738263925.162415,209322.000,28869,3,AY,1,100,-0.109
1738263925.202416,209362.000,28885,2,AY,1,100,-0.109
1738263925.242418,209402.000,28885,2,AY,1,100,-0.109
1738263925.282419,209442.000,28901,3,AY,1,100,-0.108
1738263925.322420,209482.000,28901,3,AY,1,100,-0.109
